address,label,english,portuguese,verdict,note
NUM.10.10,10,"<em>And on.</em> This serves to explain what kind of banquet was meant. On the festivals of religion, <em>peace-offerings</em> were made, of which those who were pure, might partake. H.—On solemn and extraordinary occasions, <em>holocausts</em> were also presented to God by the whole nation; and the trumpets announced those public rejoicings. 2 Par. 5:12. 29:26. C.—<em>Months.</em> The day when the moon first appeared, was a festival day among the Jews, ( M.) or the first day of the month, while they observed the solar year.","<em>E assim por diante.</em> Isso serve para explicar que tipo de banquete estava em questão. Nas festas religiosas, eram feitas <em>ofertas pacíficas</em>, das quais podiam participar os que estivessem puros. H.—Em ocasiões solenes e extraordinárias, <em>holocaustos</em> eram também apresentados a Deus por toda a nação; e as trombetas anunciavam essas alegrias públicas. 2 Par. 5:12. 29:26. C.—<em>Meses.</em> O dia em que a lua aparecia pela primeira vez era dia de festa entre os judeus, (M.) ou o primeiro dia do mês, enquanto observavam o ano solar.",,
NUM.14.22,22,"<em>The men</em>, above twenty years of age, v. 29.—<em>Majesty</em>, manifested by <em>the signs</em>, &c. H.—<em>Ten times;</em> very often. It is not necessary to specify the number of the rebellions, as some have done, placing the first on the other side of the Red Sea, (Ex. 14:11,) and the tenth here. The expression is often used to express a great but indefinite number. Eccles. 7:20. C.","<em>Os homens</em> acima de vinte anos de idade, v. 29.—<em>Majestade</em>, manifestada pelos <em>sinais</em>, &c. H.—<em>Dez vezes;</em> muitíssimas vezes. Não é necessário especificar o número das rebeliões, como alguns fizeram, colocando a primeira do outro lado do Mar Vermelho, (Ex. 14:11,) e a décima aqui. A expressão é frequentemente usada para indicar um número grande, mas indefinido. Ecles. 7:20. C.",,
NUM.22.3,3,"<em>Of him:</em> Israel. M.—They knew not that God had forbidden the Hebrews to attack the Moabites, unless they were first assailed. Joseph.—Heb. “Moab was much afraid of the people, because of their numbers, and was distressed (<em>and upon his guard</em>) on account of the children of Israel.” H.","<em>Deles:</em> Israel. M.—Eles não sabiam que Deus havia proibido os Hebreus de atacar os Moabitas, a menos que fossem os primeiros a ser atacados. Joseph.—Heb. ""Moab tinha muito medo do povo, por causa do seu número, e estava angustiado (<em>e em guarda</em>) por causa dos filhos de Israel."" H.",,
DEU.9.21,21,"<em>Sin.</em> The Scripture designates by this name not only the evil action, but also the propensity to it, the object, matter, occasion, punishment, or victim of sin.—<em>The calf.</em> He broke the idol in pieces, and then ground it small. Ex. 32:20. C.","<em>Pecado.</em> A Escritura designa por este nome não apenas a ação má, mas também a propensão a ela, o objeto, a matéria, a ocasião, a punição ou a vítima do pecado.—<em>O bezerro.</em> Ele quebrou o ídolo em pedaços e depois o moeu finamente. Ex. 32:20. C.",,
DEU.16.20,20,"<em>Just.</em> Heb. “thou shalt follow justice.” Thou shalt be guided solely by the dictates of justice, in passing sentence. Ex. 23:1. 9. C.—That judge who passes sentence according to truth, executes his office unjustly if he be actuated by the love of a temporal reward. S. Greg. Mor. 9.","<em>Justo.</em> Heb. ""seguirás a justiça."" Serás guiado unicamente pelos ditames da justiça ao proferir sentença. Ex. 23:1. 9. C.—O juiz que pronuncia sentença segundo a verdade exerce seu ofício injustamente se for movido pelo amor de uma recompensa temporal. S. Greg. Mor. 9.",,
DEU.17.15,15,"<em>Choose</em>, as he did Saul, David, and Solomon, who succeeded to the throne of his father, though he was not the eldest son. M.—Then the throne began to be hereditary, in virtue of God’s promise to David. C.—<em>Brother.</em> The Jews neglected this law, when they willingly recognized the authority of Herod, two years after the birth of Christ. See Gen. 49:10. H.—A stranger might attempt to draw off the people from the service of the true God, and mutual love would not so easily subsist between them. M.","<em>Escolha</em>, como fez com Saul, Davi e Salomão, que sucedeu ao trono de seu pai, embora não fosse o filho mais velho. M.—Então o trono começou a ser hereditário, em virtude da promessa de Deus a Davi. C.—<em>Irmão.</em> Os judeus negligenciaram esta lei quando reconheceram voluntariamente a autoridade de Herodes, dois anos após o nascimento de Cristo. Ver Gen. 49:10. H.—Um estrangeiro poderia tentar afastar o povo do culto ao verdadeiro Deus, e o amor mútuo não subsistiria tão facilmente entre eles. M.",,
DEU.18.6,6,"<em>Levite.</em> In the days of Moses, all the Levites probably assisted in the service of the tabernacle, when they thought proper. But, after they should be dispersed, he encourages them to come willingly. David afterwards divided the priests and the Levites into classes, which were obliged to serve in their turns, 1 Par. 23. &c. Though he derogated from the words of the law, he followed the spirit of the injunction, which was intended to promote the great glory and decency of religion; and even after this regulation, ( C.) those who desired, like Samuel, ( M.) to consecrate their labours to the Lord for life, or for a long time, were in all probability entitled to the privileges here granted. C.","<em>Levita.</em> Nos dias de Moisés, todos os levitas provavelmente assistiam ao serviço do tabernáculo quando assim o desejavam. Mas, depois que fossem dispersos, ele os encoraja a vir voluntariamente. Davi dividiu depois os sacerdotes e os levitas em classes, que eram obrigadas a servir em suas turmas, 1 Par. 23, etc. Embora se tenha afastado das palavras da lei, seguiu o espírito da injunção, que tinha por fim promover a grande glória e decoro da religião; e mesmo após esse regulamento, (C.) aqueles que desejassem, como Samuel, (M.) consagrar seus trabalhos ao Senhor por toda a vida ou por longo tempo, provavelmente tinham direito aos privilégios aqui concedidos. C.",,
DEU.22.14,14,"<em>Name.</em> Heb. “and occasion reports against her to bring an evil name upon her,” ( H.) that he may not have to return her dowry. For, according to many of the Rabbins, he might give her a bill of divorce, simply if he did not like her. Seld. Uxor. iii. 1, &c.—They allow the proof here specified, only with respect to a Hebrew woman between twelve and twelve and a half years old, during the period of her being espoused, but not taken home by her husband. The cause was to be tried before the 23 judges. Oftentimes only witnesses, probably matrons, were examined in defence of the woman. Josephus iv. 8. S. Ambrose (ep. 8. 64. ad Syagr.) highly disapproves of such unsatisfactory methods. The marks assigned by the law were commonly observed in Syria, Persia, &c. The Arab physicians speak of them. See Valesius, c. xxv. The age in which women were then married, the climate, &c. caused these indications to be more clear, and deposed for or against the fidelity of the bride. The mother had them entrusted to her care by the friends of the husband, who had kept watch at the door on the wedding night. M. Nachman, ap. Fagium.","<em>Nome.</em> Heb. ""e ocasião de relatos contra ela para difamar seu nome,"" (H.) a fim de não ter de devolver o dote. Pois, segundo muitos dos Rabinos, ele poderia dar-lhe uma carta de divórcio simplesmente por não gostar dela. Seld. Uxor. iii. 1, &c.—Eles admitem a prova aqui especificada apenas com respeito a uma mulher hebréia entre doze e doze anos e meio de idade, durante o período de seu noivado, mas antes de ser levada para a casa do marido. A causa devia ser julgada perante os 23 juízes. Muitas vezes eram examinadas apenas testemunhas, provavelmente matronas, em defesa da mulher. Josefo, iv. 8. Santo Ambrósio (ep. 8. 64. ad Syagr.) desaprova vivamente esses métodos insatisfatórios. As marcas assinaladas pela lei eram comumente observadas na Síria, Pérsia, &c. Os médicos árabes falam delas. Ver Valesius, c. xxv. A idade em que as mulheres se casavam então, o clima, &c. fazia com que esses indícios fossem mais claros, e depunham a favor ou contra a fidelidade da noiva. A mãe os tinha confiados à sua guarda pelos amigos do marido, que haviam feito vigília à porta na noite de núpcias. M. Nachman, ap. Fagium.",,
DEU.22.15,15,"<em>Her.</em> It does not appear that the woman was present at the trial: she remained at her father’s, or rather at her husband’s house, till sentence was passed. C.—Heb. “then shall the father of the damsel and her mother take and produce the damsel’s virginity,” or the tokens of it.","<em>Dela.</em> Não parece que a mulher estivesse presente no julgamento: ela permanecia na casa de seu pai, ou antes na casa de seu marido, até que a sentença fosse proferida. C.—Heb. ""então o pai da jovem e sua mãe tomarão e apresentarão a virgindade da jovem,"" ou os sinais dela.",,
DEU.33.24,24,"<em>Blessed.</em> He alludes to the name of <em>Aser</em>, which has this signification. H.—This tribe had been upon the increase in the desert, ( C.) and now comprised 53,000 warriors. H.—The province of Galilee, where Aser dwelt, was one of the most fertile of all Chanaan, and noted for abundance of oil, Gen. 49:20. Joseph. Bel. ii. 2. and ii. 22. C.—<em>Oil.</em> So Job (29:6,) says, <em>When I washed my feet with butter.</em> M.","<em>Bendito.</em> Alude ao nome de <em>Aser</em>, que tem esta significação. H.—Esta tribo havia crescido no deserto (C.) e contava então com 53.000 guerreiros. H.—A província da Galileia, onde habitava Aser, era uma das mais férteis de todo Canaã, afamada pela abundância de azeite, Gên. 49:20. Josefo Bel. ii. 2. e ii. 22. C.—<em>Azeite.</em> Assim também Jó (29:6) diz: <em>Quando lavei meus pés com manteiga.</em> M.",,
JOS.7.3,3,"<em>Few.</em> It appears, however, that the city contained 12,000 fighting men; so that these spies must have formed a false notion of its strength. C. 8:25.","<em>Poucos.</em> Parece, contudo, que a cidade continha 12.000 homens em condições de combate; de modo que esses espias devem ter formado uma falsa impressão de sua força. C. 8:25.",,
JOS.8.30,30,"<em>Hebal.</em> The Sam. Chronicle says on Mount Garizim. No doubt Josue complied with the injunctions of Moses: but we have seen that there are reasons to doubt which mountain he pitched upon. Deut. 27:4. H.—It seems more probable that the altar would be upon Garizim, where the blessings were proclaimed, if the texts of Moses and of Josue did not formally assert the contrary. C.—But if they have been interpolated, nothing certain can be deduced from those passages. Josephus (iv. 8,) says that the altar was between the two mountains, not far from Sichem, which was built at the foot of Garizim; and it is not probable that this historian, the mortal enemy of the Samaritans, would have hesitated to assert that the altar was upon Hebal, if the texts had been so positive, in his time. It is undeniable that the tribes of Levi, and of Ephraim, were upon Garizim; and consequently Josue and the <em>priests</em> must have been there; and who would then officiate at the altar on Hebal? See Kennicott, who ably refutes the insinuations of the infidel, Collins, against the character of the Samaritans. When this altar was erected the learned are not agreed. H.—Some say, immediately after the passage of the Jordan, and that the 12 stones taken from the bed of the river, were used for that purpose. Josephus says five years elapsed, and R. Ismael supposes that the altar was not built during the 14 years after the passage of the Jordan. But it is most probable that Josue complied with the command of God as soon as he had procured a sort of peace, ( H.) by the conquest of these two cities, and was thus enabled to penetrate into the heart of the country, where Garizim was situated, not in the plain of Jericho, as Eusebius imagined, but near Sichem, ( C.) about 30 or 40 miles to the north-west of Jericho. H.","<em>Hebal.</em> A Crônica Samaritana diz que foi no Monte Garizim. Sem dúvida Josué cumpriu as determinações de Moisés; mas já vimos que há razões para duvidar em qual montanha ele se estabeleceu. Deut. 27:4. H.—Parece mais provável que o altar estivesse em Garizim, onde as bênçãos foram proclamadas, se os textos de Moisés e de Josué não afirmassem formalmente o contrário. C.—Mas se tiverem sido interpolados, nada de certo pode ser deduzido dessas passagens. Josefo (iv. 8,) diz que o altar ficava entre as duas montanhas, não longe de Siquém, que foi edificada ao pé de Garizim; e não é provável que este historiador, inimigo mortal dos samaritanos, tivesse hesitado em afirmar que o altar estava em Hebal, se os textos fossem tão positivos em seu tempo. É inegável que as tribos de Levi e de Efraim estavam em Garizim; e por conseguinte Josué e os <em>sacerdotes</em> devem ter estado ali; e quem então oficiaria no altar em Hebal? Ver Kennicott, que refuta habilmente as insinuações do incrédulo Collins contra o caráter dos samaritanos. Os eruditos não estão de acordo sobre quando este altar foi erigido. H.—Alguns dizem que foi imediatamente após a passagem do Jordão, e que as 12 pedras retiradas do leito do rio foram usadas para esse fim. Josefo diz que se passaram cinco anos, e R. Ismael supõe que o altar não foi construído durante os 14 anos após a passagem do Jordão. Mas é mais provável que Josué tenha cumprido a ordem de Deus assim que obteve uma espécie de paz, ( H.) pela conquista destas duas cidades, e assim pôde penetrar no interior do país, onde Garizim se situava, não na planície de Jericó, como Eusébio imaginou, mas perto de Siquém, ( C.) a cerca de 30 ou 40 milhas a noroeste de Jericó. H.",,
JOS.10.24,24,"<em>Feet</em>, as Moses had foretold. Deut. 33:29. The conduct of Josue would appear cruel, if we did not reflect that he was only the executioner of the divine justice, which was pleased thus to punish these proud and impious princes, that others might not imitate their example.","<em>Pés</em>, como Moisés havia predito. Deut. 33:29. A conduta de Josué pareceria cruel, se não refletíssemos que ele era apenas o executor da justiça divina, que assim quis punir esses príncipes soberbos e ímpios, para que outros não imitassem seu exemplo.",,
JOS.18.7,7,"<em>Priesthood</em>, and the rights attached to it, tithes, &c. C.—It was therefore necessary to make eight portions. M.","<em>Sacerdócio</em>, e os direitos a ele vinculados, dízimos, &c. C.—Era portanto necessário fazer oito porções. M.",,
JOS.21.12,12,"<em>Possession.</em> Only the houses which the priests occupied, were taken from him. C.—Caleb enjoyed all the dependencies of Hebron, and took the city, as he would not have been secure while the Chanaanites dwelt there. Magalian.—Serarius thinks that he abandoned the city to the priests, in which he follows Tostat, who supposes that they had to pay tribute to the tribes among whom they lived; and that mines, &c. belonged to the latter. M.","<em>Posse.</em> Somente as casas que os sacerdotes ocupavam lhe foram tomadas. C.—Caleb desfrutava de todas as dependências de Hebron e tomou a cidade, pois não estaria seguro enquanto os cananeus ali habitassem. Magalião.—Serário pensa que ele cedeu a cidade aos sacerdotes, seguindo nisto a Tostat, que supõe que eles tinham de pagar tributo às tribos entre as quais viviam; e que as minas, &c. pertenciam a estas últimas. M.",,
JDG.3.10,10,"<em>In him</em>, to instruct and enable him both to rout the enemy, and to govern the people with prudence. H.—Chal. “the spirit of prophecy.” The oracle excited him to attack Chusan. Joseph. v. 3. He was entrusted with an extraordinary authority, in a wonderful manner, and God gave him all those virtues which were requisite for his exalted station. C.—<em>Him.</em> Heb. “his hand was strong upon Chusan Rasathaim.” He gained a complete victory over him, ( H.) the particulars of which are not mentioned, though they must have been very interesting and extraordinary, as the power of Chusan was so extensive. C.","<em>Nele</em>, para instruí-lo e habilitá-lo tanto a derrotar o inimigo quanto a governar o povo com prudência. H.—Chal. ""o espírito de profecia."" O oráculo o impeliu a atacar Chusan. Joseph. v. 3. Foi investido de uma autoridade extraordinária de modo admirável, e Deus lhe concedeu todas as virtudes necessárias para sua elevada missão. C.—<em>Dele.</em> Heb. ""sua mão foi forte sobre Chusan Rasataim."" Obteve sobre ele uma vitória completa, ( H.) cujos pormenores não são mencionados, embora devessem ser muito notáveis e extraordinários, pois o poder de Chusan era muito extenso. C.",,
JDG.6.11,11,"<em>Angel;</em> Michael. M.—Some think it was the prophet who had addressed the people, or Phinees, according to the Rabbins. See S. Aug. q. 31. Others believe it was the Son of God, who takes the name of Jehovah. Broughton and other Protest.—But the most natural opinion is, that a real angel was sent, in the name of God, like that which appeared to Moses, and assumed the incommunicable name, as the ambassador of God. Gedeon took him for a man, and presented him a noble feast, without designing to offer sacrifice to him. Maimonides and Grotius seem to suppose that all this passed in a dream; but the sequal refutes this opinion.—<em>Ephra</em>, a city of the half tribe of Manasses, on the west side of the Jordan, of which Joas was the richest citizen. He was of the family of Ezri, and a descendant of Abiezer. 1 Par. 8:18. Heb. might be rendered, “Joas, the Abiezerite.” C. 8:32 and 13:2.—<em>Madian.</em> Not having the convenience of cleansing the wheat in the open field, Gedeon was doing it privately, with a design to carry it off, at the approach of the enemy, and to support himself and family in some cavern. Heb. takes no notice of cleaning: “Gedeon threshed wheat, by the wine press, to hide it, <em>or</em> to flee,” &c. He probably used a flail, or some smaller sticks, such as were employed to beat out olives. Isai. 28:27. Ruth 2:17. C.—The wheat harvest was about Pentecost, that of barley was at Easter. It seems the Madianites had been later than usual this year, in making their incursions, v. 33. H.","<em>Anjo;</em> Miguel. M.—Alguns pensam que era o profeta que havia se dirigido ao povo, ou Fineias, segundo os Rabinos. Ver Santo Agostinho, q. 31. Outros creem que era o Filho de Deus, que toma o nome de Jeová. Broughton e outros Protest.—Mas a opinião mais natural é a de que um anjo real foi enviado, em nome de Deus, como aquele que apareceu a Moisés e assumiu o nome incomunicável como embaixador de Deus. Gedeão o tomou por um homem e lhe apresentou um nobre banquete, sem pretender oferecer-lhe sacrifício. Maimônides e Grócio parecem supor que tudo isso se passou em sonho; mas a continuação da narrativa refuta essa opinião.—<em>Efra</em>, cidade da meia tribo de Manassés, no lado ocidental do Jordão, da qual Joás era o cidadão mais rico. Era da família de Ezri e descendente de Abiezer. 1 Par. 8:18. O heb. poderia ser traduzido: ""Joás, o abiezerita."" C. 8:32 e 13:2.—<em>Madian.</em> Não tendo comodidade para limpar o trigo em campo aberto, Gedeão o fazia em segredo, com a intenção de transportá-lo ao aproximar-se do inimigo e sustentar-se a si e à sua família em alguma caverna. O heb. não menciona a limpeza: ""Gedeão trilhava trigo junto ao lagar, para escondê-lo, <em>ou</em> para fugir,"" &c. Provavelmente usava um mangual ou varas menores, como as empregadas para debulhar azeitonas. Isai. 28:27. Rut 2:17. C.—A colheita do trigo era por volta de Pentecostes; a da cevada, na Páscoa. Parece que os madianitas tinham chegado mais tarde que o habitual este ano em suas incursões, v. 33. H.",,
JDG.7.17,17,"<em>Camp.</em> The three divisions stopt at the entrance, v. 21. C.","<em>Acampamento.</em> As três divisões pararam à entrada, v. 21. C.",,
JDG.8.6,6,"<em>Hand.</em> Perhaps thou makest sure of taking these kings. H.—We apprehend that they will return with greater forces, and punish our compliance. M.",<em>Mão.</em> Talvez estejas certo de capturar esses reis. H.—Tememos que regressem com forças maiores e punam nossa condescendência. M.,,
